,Season,EpisodeNo,Title,AirDate,Writers,Director,SEID,Summary
160,9.0,8.0,The Betrayal,"November 20, 1997","David Mandel, Peter Mehlman",Andy Ackerman,S09E08,Kramer recreates The Merv Griffin Show set in his apartment.
161,9.0,9.0,The Apology,"December 11, 1997",Jennifer Crittenden,Andy Ackerman,S09E09,Jerry dates a dermatologist. George gets a job as a Yankee food processor.
162,9.0,10.0,The Strike,"December 18, 1997","Dan O'Keefe, Alec Berg, Jeff Schaffer",Andy Ackerman,S09E10,Shown in reverse chronological order this episode follows events at a wedding in India.
163,9.0,11.0,The Dealership,"January 8, 1998",Steve Koren,Andy Ackerman,S09E11,George wants an apology from an old friend in AA. Jerry's girlfriend is a germaphobe.
164,9.0,12.0,The Reverse Peephole (a.k.a. The Man Fur),"January 15, 1998",Spike Feresten,Andy Ackerman,S09E12,Kramer returns to work at H&H Bagels after a 12-year strike. George creates Festivus.
165,9.0,13.0,The Cartoon,"January 29, 1998",Bruce Eric Kaplan,Andy Ackerman,S09E13,Puddy is promoted to car salesman. Jerry tries to get a good deal on a new car.
166,9.0,14.0,The Strongbox,"February 5, 1998",Dan O'Keefe,Andy Ackerman,S09E14,Jerry carries a European carry-all (man purse). Newman plans a birthday party.
167,9.0,15.0,The Wizard,"February 26, 1998",Steve Lookner,Andy Ackerman,S09E15,Elaine's New Yorker cartoon makes no sense. Kramer has a girl stalker.
168,9.0,16.0,The Burning,"March 19, 1998",Jennifer Crittenden,Andy Ackerman,S09E16,Jerry's girlfriend has a mysterious lockbox. Kramer gets a pet parrot.
169,9.0,17.0,The Bookstore,"April 9, 1998",Spike Feresten,Andy Ackerman,S09E17,Jerry buys his father an electronic organizer. Kramer pretends to move to Florida.
170,9.0,18.0,The Frogger,"April 23, 1998","Gregg Kavet, Andy Robin",Andy Ackerman,S09E18,"Jerry's girlfriend says ""that's what they want you to think."" Kramer and Mickey act out diseases."
171,9.0,19.0,The Maid,"April 30, 1998","Alec Berg, David Mandel, Jeff Schaffer",Andy Ackerman,S09E19,Jerry gets banned from a bookstore. George gets caught reading in the bathroom.
172,9.0,20.0,The Puerto Rican Day,"May 7, 1998","Alec Berg, Jennifer Crittenden, Spike Feresten, Bruce Eric Kaplan, Gregg Kavet, Steve Koren, David Mandel, Dan O'Keefe, Andy Robin and Jeff Schaffer.",Andy Ackerman,S09E20,George tries to preserve his high score on an old Frogger machine.
173,9.0,23.0,The Finale,"May 14, 1998",Larry David,Andy Ackerman,S09E23,Jerry dates his maid. Kramer changes his sleep schedule to spend more time with his girlfriend.
